901,Vertigo                                           ,1958,128,English        ,24-08-58,UK
902,The Innocents                                     ,1961,100,English        ,19-02-62,SW
903,Lawrence of Arabia                                ,1962,216,English        ,11-12-62,UK
904,The Deer Hunter                                   ,1978,183,English        ,08-03-79,UK
905,Amadeus                                           ,1984,160,English        ,07-01-85,UK
906,Blade Runner                                      ,1982,117,English        ,09-09-82,UK
907,Eyes Wide Shut                                    ,1999,159,English        ,\N,UK
908,The Usual Suspects                                ,1995,106,English        ,25-08-95,UK
909,Chinatown                                         ,1974,130,English        ,09-08-74,UK
910,Boogie Nights                                     ,1997,155,English        ,16-02-98,UK
911,Annie Hall                                        ,1977,93,English        ,20-04-77,USA
912,Princess Mononoke                                 ,1997,134,Japanese       ,19-10-01,UK
913,The Shawshank Redemption                          ,1994,142,English        ,17-02-95,UK
914,American Beauty                                   ,1999,122,English        ,\N,UK
915,Titanic                                           ,1997,194,English        ,23-01-98,UK
916,Good Will Hunting                                 ,1997,126,English        ,03-06-98,UK
917,Deliverance                                       ,1972,109,English        ,05-10-82,UK
918,Trainspotting                                     ,1996,94,English        ,23-02-96,UK
919,The Prestige                                      ,2006,130,English        ,10-11-06,UK
920,Donnie Darko                                      ,2001,113,English        ,\N,UK
921,Slumdog Millionaire                               ,2008,120,English        ,09-01-09,UK
922,Aliens                                            ,1986,137,English        ,29-08-86,UK
923,Beyond the Sea                                    ,2004,118,English        ,26-11-04,UK
924,Avatar                                            ,2009,162,English        ,17-12-09,UK
926,Seven Samurai                                     ,1954,207,Japanese       ,26-04-54,JP
927,Spirited Away                                     ,2001,125,Japanese       ,12-09-03,UK
928,Back to the Future                                ,1985,116,English        ,04-12-85,UK
925,Braveheart                                        ,1995,178,English        ,08-09-95,UK
